# Content: proteins
# Copyright: 2022, Ecole Polytechnique Federale de Lausanne.
# License: Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0)
# Version: Release 4 (07/30/2022)
uniprot_ac	uniprot_id	uniprot_description	organism	main_gene_name	gene_names	nber_palmitoyl_proteome_hits	nber_palmitoyl_proteome_sites	nber_palmitoyl_proteome_articles	nber_targeted_study_hits	nber_targeted_study_sites	nber_targeted_study_articles	nber_technique_categories	main_isoform_site_positions
Q8NEV1	CSK23_HUMAN	Casein kinase II subunit alpha 3, CK II alpha 3, EC 2.7.11.1 (Casein kinase II alpha 1 polypeptide pseudogene)	Homo sapiens	CSNK2A3	CSNK2A1P,CSNK2A3	1	0	1	0	0	0	2	
P67870	CSK2B_HUMAN	Casein kinase II subunit beta, CK II beta (Phosvitin) (Protein G5a)	Homo sapiens	CSNK2B	G5A,CK2N,CSNK2B	6	0	2	0	0	0	3	
Q8WXE0	CSKI2_HUMAN	Caskin-2 (CASK-interacting protein 2)	Homo sapiens	CASKIN2	KIAA1139,CASKIN2	1	0	1	0	0	0	1	
O14936	CSKP_HUMAN	Peripheral plasma membrane protein CASK, hCASK, EC 2.7.11.1 (Calcium/calmodulin-dependent serine protein kinase) (Protein lin-2 homolog)	Homo sapiens	CASK	LIN2,CASK	10	0	4	0	0	0	4	
Q13098	CSN1_HUMAN	COP9 signalosome complex subunit 1, SGN1, Signalosome subunit 1 (G protein pathway suppressor 1, GPS-1) (JAB1-containing signalosome subunit 1) (Protein MFH)	Homo sapiens	GPS1	CSN1,COPS1,GPS1	7	0	4	0	0	0	5	
P61201	CSN2_HUMAN	COP9 signalosome complex subunit 2, SGN2, Signalosome subunit 2 (Alien homolog) (JAB1-containing signalosome subunit 2) (Thyroid receptor-interacting protein 15, TR-interacting protein 15, TRIP-15)	Homo sapiens	COPS2	TRIP15,CSN2,COPS2	3	0	2	0	0	0	2	
Q9UNS2	CSN3_HUMAN	COP9 signalosome complex subunit 3, SGN3, Signalosome subunit 3 (JAB1-containing signalosome subunit 3)	Homo sapiens	COPS3	CSN3,COPS3	7	0	4	0	0	0	4	
Q9BT78	CSN4_HUMAN	COP9 signalosome complex subunit 4, SGN4, Signalosome subunit 4 (JAB1-containing signalosome subunit 4)	Homo sapiens	COPS4	CSN4,COPS4	2	0	2	0	0	0	2	
Q92905	CSN5_HUMAN	COP9 signalosome complex subunit 5, SGN5, Signalosome subunit 5, EC 3.4.-.- (Jun activation domain-binding protein 1)	Homo sapiens	COPS5	JAB1,CSN5,COPS5	2	0	2	0	0	0	4	
Q9H9Q2	CSN7B_HUMAN	COP9 signalosome complex subunit 7b, SGN7b, Signalosome subunit 7b (JAB1-containing signalosome subunit 7b)	Homo sapiens	COPS7B	CSN7B,COPS7B	2	0	1	0	0	0	2	
P13611	CSPG2_HUMAN	Versican core protein (Chondroitin sulfate proteoglycan core protein 2, Chondroitin sulfate proteoglycan 2) (Glial hyaluronate-binding protein, GHAP) (Large fibroblast proteoglycan) (PG-M)	Homo sapiens	VCAN	CSPG2,VCAN	1	0	1	0	0	0	1	
P21291	CSRP1_HUMAN	Cysteine and glycine-rich protein 1 (Cysteine-rich protein 1, CRP, CRP1) (Epididymis luminal protein 141, HEL-141)	Homo sapiens	CSRP1	CYRP,CSRP,CSRP1	4	0	4	0	0	0	4	
P50461	CSRP3_HUMAN	Cysteine and glycine-rich protein 3 (Cardiac LIM protein) (Cysteine-rich protein 3, CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)	Homo sapiens	CSRP3	MLP,CLP,CSRP3	1	0	1	0	0	0	2	
Q05048	CSTF1_HUMAN	Cleavage stimulation factor subunit 1 (CF-1 50 kDa subunit) (Cleavage stimulation factor 50 kDa subunit, CSTF 50 kDa subunit, CstF-50)	Homo sapiens	CSTF1	CSTF1	3	0	2	0	0	0	3	
P33240	CSTF2_HUMAN	Cleavage stimulation factor subunit 2 (CF-1 64 kDa subunit) (Cleavage stimulation factor 64 kDa subunit, CSTF 64 kDa subunit, CstF-64)	Homo sapiens	CSTF2	CSTF2	2	0	1	0	0	0	1	
Q12996	CSTF3_HUMAN	Cleavage stimulation factor subunit 3 (CF-1 77 kDa subunit) (Cleavage stimulation factor 77 kDa subunit, CSTF 77 kDa subunit, CstF-77)	Homo sapiens	CSTF3	CSTF3	2	0	1	0	0	0	1	
Q8WYA6	CTBL1_HUMAN	Beta-catenin-like protein 1 (Nuclear-associated protein, NAP) (Testis development protein NYD-SP19)	Homo sapiens	CTNNBL1	PP8304,C20orf33,CTNNBL1	6	0	3	0	0	0	4	
Q13363	CTBP1_HUMAN	C-terminal-binding protein 1, CtBP1, EC 1.1.1.-	Homo sapiens	CTBP1	CTBP,CTBP1	2	0	1	0	0	0	1	
P56545	CTBP2_HUMAN	C-terminal-binding protein 2, CtBP2	Homo sapiens	CTBP2	CTBP2	3	0	1	0	0	0	2	
P49711	CTCF_HUMAN	Transcriptional repressor CTCF (11-zinc finger protein) (CCCTC-binding factor) (CTCFL paralog)	Homo sapiens	CTCF	CTCF	3	0	3	0	0	0	3	
Q9GZU7	CTDS1_HUMAN	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1, EC 3.1.3.16 (Nuclear LIM interactor-interacting factor 3, NLI-IF, NLI-interacting factor 3) (Small C-terminal domain phosphatase 1, SCP1, Small CTD phosphatase 1)	Homo sapiens	CTDSP1	SCP1,NLIIF,NIF3,CTDSP1	17	0	10	1	3	1	4	44,45,47
O14595	CTDS2_HUMAN	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2, EC 3.1.3.16 (Nuclear LIM interactor-interacting factor 2, NLI-interacting factor 2) (Protein OS-4) (Small C-terminal domain phosphatase 2) (Small CTD phosphatase 2, SCP2)	Homo sapiens	CTDSP2	SCP2,OS4,NIF2,CTDSP2	10	0	7	0	0	0	4	
O15194	CTDSL_HUMAN	CTD small phosphatase-like protein, CTDSP-like, EC 3.1.3.16 (Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 3) (NIF-like protein) (Nuclear LIM interactor-interacting factor 1, NLI-interacting factor 1) (Protein YA22, hYA22) (RBSP3) (Small C-terminal domain phosphatase 3, SCP3, Small CTD phosphatase 3)	Homo sapiens	CTDSPL	YA22,SCP3,NIFL,NIF1,C3orf8,CTDSPL	8	0	5	0	0	0	4	
O15320	CTGE5_HUMAN	Endoplasmic reticulum export factor CTAGE5 (CTAGE family member 5 ER export factor) (Protein cTAGE-5) (Meningioma-expressed antigen 6/11)	Homo sapiens	CTAGE5	MGEA6,MGEA11,MEA6,MEA11,CTAGE5	1	0	1	0	0	0	2	
Q8WWI5	CTL1_HUMAN	Choline transporter-like protein 1 (CDw92) (Solute carrier family 44 member 1) (CD antigen CD92)	Homo sapiens	SLC44A1	CTL1,CDW92,CD92,SLC44A1	29	3	13	0	0	0	4	98
Q8IWA5	CTL2_HUMAN	Choline transporter-like protein 2 (Solute carrier family 44 member 2)	Homo sapiens	SLC44A2	PSEC0210,CTL2,SLC44A2	14	0	9	0	0	0	4	
Q53GD3	CTL4_HUMAN	Choline transporter-like protein 4 (Solute carrier family 44 member 4) (Thiamine pyrophosphate transporter 1, hTPPT1)	Homo sapiens	SLC44A4	UNQ441/PRO874,NG22,CTL4,C6orf29,SLC44A4,TPPT1	4	0	2	0	0	0	4	
P35221	CTNA1_HUMAN	Catenin alpha-1 (Alpha E-catenin) (Cadherin-associated protein) (Renal carcinoma antigen NY-REN-13)	Homo sapiens	CTNNA1	CTNNA1	6	0	5	0	0	0	4	
P26232	CTNA2_HUMAN	Catenin alpha-2 (Alpha N-catenin) (Alpha-catenin-related protein)	Homo sapiens	CTNNA2	CAPR,CTNNA2	2	0	2	0	0	0	3	
Q9UI47	CTNA3_HUMAN	Catenin alpha-3 (Alpha T-catenin) (Cadherin-associated protein)	Homo sapiens	CTNNA3	CTNNA3	1	0	1	0	0	0	1	
P35222	CTNB1_HUMAN	Catenin beta-1 (Beta-catenin)	Homo sapiens	CTNNB1	PRO2286,OK/SW-cl.35,CTNNB,CTNNB1	13	1	8	4	0	2	5	466
O60716	CTND1_HUMAN	Catenin delta-1 (Cadherin-associated Src substrate, CAS) (p120 catenin, p120(ctn)) (p120(cas))	Homo sapiens	CTNND1	KIAA0384,CTNND1	110	17	9	2	0	1	5	618,394
Q9UQB3	CTND2_HUMAN	Catenin delta-2 (Delta-catenin) (GT24) (Neural plakophilin-related ARM-repeat protein, NPRAP) (Neurojungin)	Homo sapiens	CTNND2	NPRAP,CTNND2	1	0	1	1	7	1	4	795,808,831,857,910,964,965
P30825	SL7A1_HUMAN	High affinity cationic amino acid transporter 1, CAT-1, CAT1 (Ecotropic retroviral leukemia receptor homolog) (Ecotropic retrovirus receptor homolog) (Solute carrier family 7 member 1) (System Y+ basic amino acid transporter)	Homo sapiens	SLC7A1	REC1L,ERR,ATRC1,SLC7A1	19	2	10	0	0	0	5	3
P52569	CTR2_HUMAN	Cationic amino acid transporter 2, CAT-2, CAT2 (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2)	Homo sapiens	SLC7A2	CAT2,ATRC2,SLC7A2	13	1	7	0	0	0	4	376
O14578	CTRO_HUMAN	Citron Rho-interacting kinase, CRIK, EC 2.7.11.1 (Serine/threonine-protein kinase 21)	Homo sapiens	CIT	STK21,KIAA0949,CRIK,CIT	1	0	1	0	0	0	2	
Q7RTX7	CTSR4_HUMAN	Cation channel sperm-associated protein 4, CatSper4	Homo sapiens	CATSPER4	CATSPER4	1	0	1	0	0	0	2	
Q2VPK5	CTU2_HUMAN	Cytoplasmic tRNA 2-thiolation protein 2 (Cytosolic thiouridylase subunit 2)	Homo sapiens	CTU2	NCS2,C16orf84,CTU2	3	0	1	0	0	0	2	
P60606	CTXN1_HUMAN	Cortexin-1	Homo sapiens	CTXN1	CTXN,CTXN1	1	0	1	0	0	0	2	
Q9Y426	C2CD2_HUMAN	C2 domain-containing protein 2 (Transmembrane protein 24-like)	Homo sapiens	C2CD2	C21orf258,C21orf25,C2CD2,TMEM24L	3	0	1	0	0	0	2	
Q13617	CUL2_HUMAN	Cullin-2, CUL-2	Homo sapiens	CUL2	CUL2	5	0	2	0	0	0	4	
Q13618	CUL3_HUMAN	Cullin-3, CUL-3	Homo sapiens	CUL3	KIAA0617,CUL3	2	0	1	0	0	0	2	
Q13619	CUL4A_HUMAN	Cullin-4A, CUL-4A	Homo sapiens	CUL4A	CUL4A	2	0	2	0	0	0	3	
Q13620	CUL4B_HUMAN	Cullin-4B, CUL-4B	Homo sapiens	CUL4B	KIAA0695,CUL4B	7	0	4	0	0	0	4	
O60888	CUTA_HUMAN	Protein CutA (Acetylcholinesterase-associated protein) (Brain acetylcholinesterase putative membrane anchor)	Homo sapiens	CUTA	C6orf82,ACHAP,CUTA	1	0	1	0	0	0	2	
Q9HCG8	CWC22_HUMAN	Pre-mRNA-splicing factor CWC22 homolog (Nucampholin homolog) (fSAPb)	Homo sapiens	CWC22	NCM,KIAA1604,CWC22	1	0	1	0	0	0	2	
P24310	CX7A1_HUMAN	Cytochrome c oxidase subunit 7A1, mitochondrial (Cytochrome c oxidase subunit VIIa-heart, Cytochrome c oxidase subunit VIIa-H) (Cytochrome c oxidase subunit VIIa-muscle, Cytochrome c oxidase subunit VIIa-M)	Homo sapiens	COX7A1	COX7AH,COX7A1	1	0	1	0	0	0	2	
P14406	CX7A2_HUMAN	Cytochrome c oxidase subunit 7A2, mitochondrial (Cytochrome c oxidase subunit VIIa-liver/heart, Cytochrome c oxidase subunit VIIa-L, Cytochrome c oxidase subunit VIIaL)	Homo sapiens	COX7A2	COX7AL,COX7A2	1	0	1	0	0	0	2	
P17302	CXA1_HUMAN	Gap junction alpha-1 protein (Connexin-43, Cx43) (Gap junction 43 kDa heart protein)	Homo sapiens	GJA1	GJAL,GJA1	1	0	1	0	0	0	2	
Q9Y6H8	CXA3_HUMAN	Gap junction alpha-3 protein (Connexin-46, Cx46)	Homo sapiens	GJA3	GJA3	1	0	1	0	0	0	1	
P78310	CXAR_HUMAN	Coxsackievirus and adenovirus receptor, CAR, hCAR (CVB3-binding protein) (Coxsackievirus B-adenovirus receptor) (HCVADR)	Homo sapiens	CXADR	CAR,CXADR	25	0	9	0	0	0	4	
P08034	CXB1_HUMAN	Gap junction beta-1 protein (Connexin-32, Cx32) (GAP junction 28 kDa liver protein)	Homo sapiens	GJB1	CX32,GJB1	1	0	1	0	0	0	2	
P29033	CXB2_HUMAN	Gap junction beta-2 protein (Connexin-26, Cx26)	Homo sapiens	GJB2	GJB2	1	0	1	0	0	0	2	
O75712	CXB3_HUMAN	Gap junction beta-3 protein (Connexin-31, Cx31)	Homo sapiens	GJB3	CX31,GJB3	1	0	1	0	0	0	2	
P61073	CXCR4_HUMAN	C-X-C chemokine receptor type 4, CXC-R4, CXCR-4 (FB22) (Fusin) (HM89) (LCR1) (Leukocyte-derived seven transmembrane domain receptor, LESTR) (Lipopolysaccharide-associated protein 3, LAP-3, LPS-associated protein 3) (NPYRL) (Stromal cell-derived factor 1 receptor, SDF-1 receptor) (CD antigen CD184)	Homo sapiens	CXCR4	CXCR4	1	0	1	0	0	0	1	
P25106	ACKR3_HUMAN	Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7, CXC-R7, CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog, RDC-1)	Homo sapiens	ACKR3	ACKR3,RDC1,GPR159,CMKOR1,CXCR7	1	0	1	0	0	0	2	
Q9P0U4	CXXC1_HUMAN	CXXC-type zinc finger protein 1 (CpG-binding protein) (PHD finger and CXXC domain-containing protein 1)	Homo sapiens	CXXC1	PHF18,PCCX1,CGBP,CFP1,CXXC1	1	0	1	0	0	0	2	
P08574	CY1_HUMAN	Cytochrome c1, heme protein, mitochondrial, EC 7.1.1.8 (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit, Cytochrome c-1)	Homo sapiens	CYC1	CYC1	10	0	7	0	0	0	5	
P13498	CY24A_HUMAN	Cytochrome b-245 light chain (Cytochrome b(558) alpha chain) (Cytochrome b558 subunit alpha) (Neutrophil cytochrome b 22 kDa polypeptide) (Superoxide-generating NADPH oxidase light chain subunit) (p22 phagocyte B-cytochrome) (p22-phox, p22phox)	Homo sapiens	CYBA	CYBA	2	0	1	0	0	0	2	
P04839	CY24B_HUMAN	Cytochrome b-245 heavy chain, EC 1.-.-.- (CGD91-phox) (Cytochrome b(558) subunit beta, Cytochrome b558 subunit beta) (Heme-binding membrane glycoprotein gp91phox) (NADPH oxidase 2) (Neutrophil cytochrome b 91 kDa polypeptide) (Superoxide-generating NADPH oxidase heavy chain subunit) (gp91-1) (gp91-phox) (p22 phagocyte B-cytochrome)	Homo sapiens	CYBB	NOX2,CYBB	2	0	2	0	0	0	3	
P49447	CY561_HUMAN	Transmembrane ascorbate-dependent reductase CYB561, EC 7.2.1.- (Cytochrome b-561) (Cytochrome b561)	Homo sapiens	CYB561	CYB561	1	0	1	0	0	0	2	
O43169	CYB5B_HUMAN	Cytochrome b5 type B (Cytochrome b5 outer mitochondrial membrane isoform)	Homo sapiens	CYB5B	OMB5,CYB5M,CYB5B	19	0	14	0	0	0	4	
Q9HB71	CYBP_HUMAN	Calcyclin-binding protein, CacyBP, hCacyBP (S100A6-binding protein) (Siah-interacting protein)	Homo sapiens	CACYBP	PNAS-107,SIP,S100A6BP,CACYBP	3	0	2	0	0	0	2	
Q53TN4	CYBR1_HUMAN	Plasma membrane ascorbate-dependent reductase CYBRD1, EC 7.2.1.3 (Cytochrome b reductase 1) (Duodenal cytochrome b) (Ferric-chelate reductase 3)	Homo sapiens	CYBRD1	FRRS3,DCYTB,CYBRD1	5	0	3	0	0	0	4	
P00156	CYB_HUMAN	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	Homo sapiens	MT-CYB	MTCYB,CYTB,COB,MT-CYB	5	0	3	0	0	0	3	
P99999	CYC_HUMAN	Cytochrome c	Homo sapiens	CYCS	CYC,CYCS	7	2	6	0	0	0	4	15,18
Q7L576	CYFP1_HUMAN	Cytoplasmic FMR1-interacting protein 1 (Specifically Rac1-associated protein 1, Sra-1) (p140sra-1)	Homo sapiens	CYFIP1	KIAA0068,CYFIP1	9	0	5	0	0	0	4	
Q96F07	CYFP2_HUMAN	Cytoplasmic FMR1-interacting protein 2 (p53-inducible protein 121)	Homo sapiens	CYFIP2	PIR121,KIAA1168,CYFIP2	6	0	3	0	0	0	3	
P04080	CYTB_HUMAN	Cystatin-B (CPI-B) (Liver thiol proteinase inhibitor) (Stefin-B)	Homo sapiens	CSTB	STFB,CST6,CSTB	6	0	2	0	0	0	3	
P01034	CYTC_HUMAN	Cystatin-C (Cystatin-3) (Gamma-trace) (Neuroendocrine basic polypeptide) (Post-gamma-globulin)	Homo sapiens	CST3	CST3	1	0	1	0	0	0	2	
Q9H1C7	CYTM1_HUMAN	Cysteine-rich and transmembrane domain-containing protein 1	Homo sapiens	CYSTM1	ORF1-FL49,C5orf32,CYSTM1	8	2	5	0	0	0	4	79,83
P01036	CYTS_HUMAN	Cystatin-S (Cystatin-4) (Cystatin-SA-III) (Salivary acidic protein 1)	Homo sapiens	CST4	CST4	1	0	1	0	0	0	1	
Q2PZI1	D19L1_HUMAN	Probable C-mannosyltransferase DPY19L1, EC 2.4.1.- (Dpy-19-like protein 1) (Protein dpy-19 homolog 1)	Homo sapiens	DPY19L1	KIAA0877,GA0500,DPY19L1	4	1	3	0	0	0	4	134
Q6ZPD9	D19L3_HUMAN	Probable C-mannosyltransferase DPY19L3, EC 2.4.1.- (Dpy-19-like protein 3) (Protein dpy-19 homolog 3)	Homo sapiens	DPY19L3	DPY19L3	2	0	2	0	0	0	4	
Q8N465	D2HDH_HUMAN	D-2-hydroxyglutarate dehydrogenase, mitochondrial, EC 1.1.99.39	Homo sapiens	D2HGDH	D2HGD,D2HGDH	5	0	3	0	0	0	3	
Q9NRG7	D39U1_HUMAN	Epimerase family protein SDR39U1, EC 1.1.1.- (Short-chain dehydrogenase/reductase family 39U member 1)	Homo sapiens	SDR39U1	HCDI,C14orf124,SDR39U1	1	0	1	0	0	0	2	
Q9Y4D1	DAAM1_HUMAN	Disheveled-associated activator of morphogenesis 1	Homo sapiens	DAAM1	KIAA0666,DAAM1	13	0	7	0	0	0	4	
Q86T65	DAAM2_HUMAN	Disheveled-associated activator of morphogenesis 2	Homo sapiens	DAAM2	KIAA0381,DAAM2	1	0	1	0	0	0	2	
P61803	DAD1_HUMAN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1, Oligosaccharyl transferase subunit DAD1 (Defender against cell death 1, DAD-1)	Homo sapiens	DAD1	DAD1	8	0	4	0	0	0	4	
P08174	DAF_HUMAN	Complement decay-accelerating factor (CD antigen CD55)	Homo sapiens	CD55	DAF,CR,CD55	3	0	2	0	0	0	2	
Q14118	DAG1_HUMAN	Dystroglycan 1 (Dystroglycan) (Dystrophin-associated glycoprotein 1) [Cleaved into: Alpha-dystroglycan, Alpha-DG; Beta-dystroglycan, Beta-DG ]	Homo sapiens	DAG1	DAG1	14	0	10	0	0	0	4	
Q96EP5	DAZP1_HUMAN	DAZ-associated protein 1 (Deleted in azoospermia-associated protein 1)	Homo sapiens	DAZAP1	DAZAP1	7	0	5	0	0	0	4	
Q9UJU6	DBNL_HUMAN	Drebrin-like protein (Cervical SH3P7) (Cervical mucin-associated protein) (Drebrin-F) (HPK1-interacting protein of 55 kDa, HIP-55) (SH3 domain-containing protein 7)	Homo sapiens	DBNL	PP5423,SH3P7,CMAP,DBNL	2	0	1	0	0	0	2	
Q13409	DC1I2_HUMAN	Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic, DH IC-2)	Homo sapiens	DYNC1I2	DNCIC2,DNCI2,DYNC1I2	5	0	3	0	0	0	3	
Q9Y6G9	DC1L1_HUMAN	Cytoplasmic dynein 1 light intermediate chain 1, LIC1 (Dynein light chain A, DLC-A) (Dynein light intermediate chain 1, cytosolic)	Homo sapiens	DYNC1LI1	DNCLI1,DYNC1LI1	3	0	1	0	0	0	3	
Q9NV06	DCA13_HUMAN	DDB1- and CUL4-associated factor 13 (WD repeat and SOF domain-containing protein 1)	Homo sapiens	DCAF13	HSPC064,WDSOF1,DCAF13	4	0	3	0	0	0	3	
P61962	DCAF7_HUMAN	DDB1- and CUL4-associated factor 7 (WD repeat-containing protein 68) (WD repeat-containing protein An11 homolog)	Homo sapiens	DCAF7	WDR68,HAN11,DCAF7	3	0	2	0	0	0	3	
Q8WVC6	DCAKD_HUMAN	Dephospho-CoA kinase domain-containing protein	Homo sapiens	DCAKD	DCAKD	1	0	1	0	0	0	2	
Q8N8Z6	DCBD1_HUMAN	Discoidin, CUB and LCCL domain-containing protein 1	Homo sapiens	DCBLD1	DCBLD1	1	0	1	0	0	0	1	
Q96PD2	DCBD2_HUMAN	Discoidin, CUB and LCCL domain-containing protein 2 (CUB, LCCL and coagulation factor V/VIII-homology domains protein 1) (Endothelial and smooth muscle cell-derived neuropilin-like protein)	Homo sapiens	DCBLD2	ESDN,CLCP1,DCBLD2	6	0	3	0	0	0	4	
P43146	DCC_HUMAN	Netrin receptor DCC (Colorectal cancer suppressor) (Immunoglobulin superfamily DCC subclass member 1) (Tumor suppressor protein DCC)	Homo sapiens	DCC	IGDCC1,DCC	0	0	0	1	1	1	2	1121
P81605	DCD_HUMAN	Dermcidin, EC 3.4.-.- (Preproteolysin) [Cleaved into: Survival-promoting peptide; DCD-1 ]	Homo sapiens	DCD	DSEP,AIDD,DCD	5	0	2	0	0	0	2	
Q05329	DCE2_HUMAN	Glutamate decarboxylase 2, EC 4.1.1.15 (65 kDa glutamic acid decarboxylase, GAD-65) (Glutamate decarboxylase 65 kDa isoform)	Homo sapiens	GAD2	GAD65,GAD2	0	0	0	3	0	3	4	
O15075	DCLK1_HUMAN	Serine/threonine-protein kinase DCLK1, EC 2.7.11.1 (Doublecortin domain-containing protein 3A) (Doublecortin-like and CAM kinase-like 1) (Doublecortin-like kinase 1)	Homo sapiens	DCLK1	KIAA0369,DCDC3A,DCAMKL1,DCLK1	1	0	1	0	0	0	1	
O95822	DCMC_HUMAN	Malonyl-CoA decarboxylase, mitochondrial, MCD, EC 4.1.1.9	Homo sapiens	MLYCD	MLYCD	1	0	1	0	0	0	2	
Q8IWE4	DCNL3_HUMAN	DCN1-like protein 3, DCNL3 (DCUN1 domain-containing protein 3) (Defective in cullin neddylation protein 1-like protein 3) (Squamous cell carcinoma-related oncogene 3)	Homo sapiens	DCUN1D3	DCUN1D3,SCCRO3	12	0	6	1	2	1	4	4,8
Q96C86	DCPS_HUMAN	m7GpppX diphosphatase, EC 3.6.1.59 (DCS-1) (Decapping scavenger enzyme) (Hint-related 7meGMP-directed hydrolase) (Histidine triad nucleotide-binding protein 5) (Histidine triad protein member 5, HINT-5) (Scavenger mRNA-decapping enzyme DcpS)	Homo sapiens	DCPS	HSPC015,HINT5,DCS1,DCPS	2	0	1	0	0	0	2	
Q14203	DCTN1_HUMAN	Dynactin subunit 1 (150 kDa dynein-associated polypeptide) (DAP-150, DP-150) (p135) (p150-glued)	Homo sapiens	DCTN1	DCTN1	8	0	5	0	0	0	3	
Q9H773	DCTP1_HUMAN	dCTP pyrophosphatase 1, EC 3.6.1.12 (Deoxycytidine-triphosphatase 1, dCTPase 1) (RS21C6) (XTP3-transactivated gene A protein)	Homo sapiens	DCTPP1	CDA03,XTP3TPA,DCTPP1	2	0	1	0	0	0	1	
Q7Z4W1	DCXR_HUMAN	L-xylulose reductase, XR, EC 1.1.1.10 (Carbonyl reductase II) (Dicarbonyl/L-xylulose reductase) (Kidney dicarbonyl reductase, kiDCR) (Short chain dehydrogenase/reductase family 20C member 1) (Sperm surface protein P34H)	Homo sapiens	DCXR	DCXR,SDR20C1	5	0	3	0	0	0	4	
Q9NUU7	DD19A_HUMAN	ATP-dependent RNA helicase DDX19A, EC 3.6.4.13 (DDX19-like protein) (DEAD box protein 19A)	Homo sapiens	DDX19A	DDX19L,DDX19A	1	0	1	0	0	0	1	
O94760	DDAH1_HUMAN	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1, DDAH-1, Dimethylarginine dimethylaminohydrolase 1, EC 3.5.3.18 (DDAHI) (Dimethylargininase-1)	Homo sapiens	DDAH1	DDAH,DDAH1	2	0	2	0	0	0	2	
O95865	DDAH2_HUMAN	N(G),N(G)-dimethylarginine dimethylaminohydrolase 2, DDAH-2, Dimethylarginine dimethylaminohydrolase 2, EC 3.5.3.18 (DDAHII) (Dimethylargininase-2) (Protein G6a) (S-phase protein)	Homo sapiens	DDAH2	NG30,G6A,DDAH,DDAH2	2	0	2	0	0	0	3	
Q16531	DDB1_HUMAN	DNA damage-binding protein 1 (DDB p127 subunit) (DNA damage-binding protein a, DDBa) (Damage-specific DNA-binding protein 1) (HBV X-associated protein 1, XAP-1) (UV-damaged DNA-binding factor) (UV-damaged DNA-binding protein 1, UV-DDB 1) (XPE-binding factor, XPE-BF) (Xeroderma pigmentosum group E-complementing protein, XPCe)	Homo sapiens	DDB1	XAP1,DDB1	13	1	8	0	0	0	5	128
P20711	DDC_HUMAN	Aromatic-L-amino-acid decarboxylase, AADC, EC 4.1.1.28 (DOPA decarboxylase, DDC)	Homo sapiens	DDC	AADC,DDC	1	0	1	0	0	0	2	
Q16832	DDR2_HUMAN	Discoidin domain-containing receptor 2, Discoidin domain receptor 2, EC 2.7.10.1 (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD antigen CD167b)	Homo sapiens	DDR2	TYRO10,TKT,NTRKR3,DDR2	7	0	4	0	0	0	4	
Q96HY6	DDRGK_HUMAN	DDRGK domain-containing protein 1 (Dashurin) (UFM1-binding and PCI domain-containing protein 1)	Homo sapiens	DDRGK1	C20orf116,DDRGK1,UFBP1	1	0	1	0	0	0	2	
Q13206	DDX10_HUMAN	Probable ATP-dependent RNA helicase DDX10, EC 3.6.4.13 (DEAD box protein 10)	Homo sapiens	DDX10	DDX10	3	0	2	0	0	0	3	
Q92841	DDX17_HUMAN	Probable ATP-dependent RNA helicase DDX17, EC 3.6.4.13 (DEAD box protein 17) (DEAD box protein p72) (DEAD box protein p82) (RNA-dependent helicase p72)	Homo sapiens	DDX17	DDX17	15	1	7	0	0	0	5	298
Q9NVP1	DDX18_HUMAN	ATP-dependent RNA helicase DDX18, EC 3.6.4.13 (DEAD box protein 18) (Myc-regulated DEAD box protein, MrDb)	Homo sapiens	DDX18	DDX18,cPERP-D	7	0	4	0	0	0	4	
Q92499	DDX1_HUMAN	ATP-dependent RNA helicase DDX1, EC 3.6.4.13 (DEAD box protein 1) (DEAD box protein retinoblastoma, DBP-RB)	Homo sapiens	DDX1	DDX1	12	0	8	0	0	0	5	
Q9UHI6	DDX20_HUMAN	Probable ATP-dependent RNA helicase DDX20, EC 3.6.1.15, EC 3.6.4.13 (Component of gems 3) (DEAD box protein 20) (DEAD box protein DP 103) (Gemin-3)	Homo sapiens	DDX20	GEMIN3,DP103,DDX20	1	0	1	0	0	0	2	
